glass_slide
8/31/2021 10:09 PM
Time [s]	CA left [°]	CA right [°]	CA mean [°]	Volume [μl]	Baseline [mm]
30.24	21.92	21.13	21.52	3.99	5.16
30.96	22.09	21.21	21.65	4.08	5.19
31.68	21.87	21.10	21.49	3.95	5.17
32.40	21.71	20.98	21.35	3.76	5.15
33.12	21.93	21.14	21.53	3.98	5.18
33.84	21.63	20.99	21.31	4.10	5.15
34.56	21.65	20.94	21.30	3.93	5.15
35.28	21.58	20.90	21.24	4.06	5.15
36.00	21.54	20.88	21.21	3.90	5.14
36.72	21.52	20.85	21.19	3.74	5.14
37.44	21.69	20.93	21.31	3.92	5.16
38.16	21.53	20.75	21.14	3.68	5.14
38.88	21.68	20.89	21.29	3.82	5.16
39.60	21.40	20.82	21.11	4.02	5.15
40.32	21.53	20.93	21.23	4.29	5.15
41.04	21.64	20.87	21.26	3.91	5.18
41.76	21.51	20.79	21.15	3.97	5.16
42.48	21.49	20.80	21.15	3.83	5.15
43.20	21.49	20.73	21.11	3.80	5.16
43.92	21.40	20.67	21.03	3.78	5.15
44.64	21.49	20.69	21.09	3.77	5.15
45.36	21.56	20.73	21.14	3.90	5.17
46.08	21.33	20.60	20.96	3.87	5.14
46.80	21.40	20.61	21.01	3.82	5.15
47.51	21.44	20.68	21.06	3.89	5.15
48.23	21.38	20.70	21.04	4.04	5.16
48.95	21.39	20.63	21.01	3.84	5.15
49.67	21.22	20.63	20.93	3.95	5.14
50.39	21.24	20.70	20.97	3.89	5.15
51.11	21.17	20.43	20.80	3.91	5.13
51.83	21.15	20.45	20.80	3.84	5.13
52.55	21.28	20.48	20.88	3.76	5.14
53.27	21.14	20.42	20.78	3.85	5.14
53.99	21.09	20.47	20.78	3.82	5.14
54.71	21.07	20.42	20.75	3.96	5.15
55.43	21.11	20.42	20.76	3.90	5.14
56.15	21.03	20.43	20.73	3.86	5.14
56.87	21.02	20.48	20.75	3.80	5.14
57.59	21.11	20.37	20.74	3.95	5.14
58.31	21.02	20.38	20.70	3.81	5.14
59.03	21.11	20.39	20.75	3.84	5.14
59.75	21.04	20.34	20.69	3.86	5.15
60.47	20.84	20.31	20.58	3.85	5.12
61.19	20.93	20.21	20.57	3.81	5.13
61.91	20.84	20.23	20.53	3.81	5.12
62.63	20.88	20.17	20.53	3.74	5.12
63.35	20.99	20.27	20.63	3.84	5.15
64.07	20.95	20.17	20.56	3.73	5.13
64.79	21.01	20.28	20.64	3.91	5.14
65.51	20.99	20.24	20.61	3.83	5.15
66.23	20.91	20.20	20.56	3.77	5.15
66.95	20.81	20.13	20.47	3.76	5.13
67.67	20.89	20.17	20.53	3.80	5.14
68.39	20.96	20.20	20.58	3.93	5.15
69.11	20.94	20.21	20.58	3.83	5.16
69.83	20.88	20.19	20.53	3.72	5.14
70.55	20.79	20.17	20.48	3.78	5.14
71.27	20.87	20.09	20.48	3.84	5.14
71.99	20.75	20.03	20.39	3.76	5.14
72.71	20.74	20.01	20.38	3.68	5.13
73.43	20.75	20.01	20.38	3.82	5.14
74.15	20.76	20.08	20.42	3.90	5.15
74.87	20.74	20.02	20.38	3.83	5.15
75.59	20.73	20.02	20.38	3.75	5.13
76.31	20.69	20.05	20.37	3.80	5.14
77.03	20.66	20.02	20.34	3.82	5.15
77.75	20.48	19.98	20.23	3.80	5.14
78.47	20.58	19.95	20.26	3.77	5.15
79.19	20.51	19.90	20.20	3.73	5.14
79.91	20.42	19.91	20.17	3.77	5.12
80.63	20.56	19.96	20.26	3.92	5.15
81.35	20.59	19.92	20.25	3.88	5.15
82.07	20.65	19.84	20.24	3.47	5.14
82.79	20.61	19.97	20.29	3.86	5.16
83.51	20.50	19.85	20.18	3.85	5.15
84.23	20.40	19.74	20.07	3.77	5.13
84.95	20.41	19.84	20.13	3.75	5.13
85.67	20.58	19.71	20.15	3.53	5.14
86.39	20.59	19.88	20.23	3.66	5.15
87.11	20.44	19.73	20.09	3.69	5.14
87.83	20.54	19.85	20.19	3.79	5.17
88.55	20.40	19.84	20.12	3.70	5.14
89.27	20.27	19.72	19.99	3.62	5.12
89.99	20.35	19.72	20.03	3.66	5.14
90.71	20.47	19.78	20.13	3.67	5.14
91.43	20.45	19.79	20.12	3.76	5.15
92.15	20.38	19.80	20.09	3.73	5.14
92.87	20.40	19.73	20.07	3.79	5.15
93.59	20.30	19.62	19.96	3.73	5.13
94.31	20.42	19.65	20.04	3.75	5.15
95.03	20.37	19.66	20.02	3.64	5.14
95.75	20.35	19.59	19.97	3.73	5.15
96.47	20.36	19.58	19.97	3.59	5.15
97.19	20.26	19.55	19.90	3.72	5.13
97.91	20.16	19.59	19.87	3.62	5.14
98.63	20.14	19.59	19.86	3.69	5.14
99.35	20.27	19.60	19.93	3.70	5.14
100.07	20.15	19.46	19.81	3.58	5.13
100.79	20.23	19.56	19.90	3.78	5.13
101.51	20.29	19.51	19.90	3.75	5.15
102.23	20.22	19.52	19.87	3.65	5.14
102.95	20.11	19.58	19.84	3.74	5.15
103.67	20.16	19.49	19.82	3.69	5.14
104.39	20.04	19.33	19.68	3.58	5.12
105.11	20.21	19.47	19.84	3.66	5.15
105.83	20.09	19.51	19.80	3.68	5.15
106.55	20.04	19.43	19.74	3.74	5.15
107.27	19.97	19.45	19.71	3.61	5.14
107.99	19.96	19.38	19.67	3.51	5.12
108.71	20.01	19.30	19.65	3.50	5.13
109.43	19.94	19.33	19.64	3.80	5.14
110.15	19.93	19.34	19.63	3.67	5.13
110.87	20.00	19.37	19.69	3.68	5.14
111.59	20.06	19.41	19.73	3.76	5.14
112.31	20.00	19.34	19.67	3.64	5.15
113.03	20.00	19.31	19.65	3.61	5.14
113.75	19.95	19.34	19.65	3.67	5.15
114.47	19.79	19.10	19.44	3.48	5.11
115.19	19.94	19.36	19.65	3.67	5.15
115.91	19.95	19.36	19.65	3.80	5.15
116.63	19.96	19.23	19.59	3.59	5.13
117.35	19.80	19.18	19.49	3.56	5.13
118.07	19.96	19.34	19.65	3.68	5.15
118.79	19.87	19.19	19.53	3.64	5.14
119.51	19.81	19.11	19.46	3.49	5.12
120.23	19.86	19.18	19.52	3.70	5.14
120.95	19.72	19.11	19.42	3.61	5.14
121.67	19.82	19.22	19.52	3.68	5.15
122.39	19.94	19.15	19.54	3.47	5.15
123.11	19.77	19.07	19.42	3.51	5.14
123.83	19.73	19.05	19.39	3.60	5.12
124.55	19.77	19.15	19.46	3.55	5.13
125.27	19.75	19.16	19.46	3.60	5.15
125.99	19.68	19.13	19.40	3.55	5.14
126.71	19.73	19.03	19.38	3.52	5.14
127.43	19.62	19.03	19.33	3.52	5.13
128.15	19.64	18.95	19.30	3.46	5.13
128.87	19.75	19.03	19.39	3.59	5.15
129.59	19.56	19.03	19.29	3.71	5.14
130.31	19.64	18.92	19.28	3.56	5.12
131.03	19.50	18.91	19.21	3.50	5.12
131.75	19.54	18.96	19.25	3.58	5.13
132.47	19.54	18.87	19.20	3.56	5.14
133.19	19.62	18.94	19.28	3.48	5.13
133.91	19.51	18.82	19.16	3.55	5.13
134.63	19.57	18.96	19.26	3.49	5.14
135.35	19.51	18.94	19.22	3.58	5.14
136.07	19.42	18.85	19.14	3.41	5.12
136.79	19.57	18.79	19.18	3.52	5.14
137.51	19.44	18.87	19.16	3.66	5.14
138.23	19.51	18.79	19.15	3.59	5.14
138.95	19.47	18.85	19.16	3.67	5.14
139.67	19.41	18.87	19.14	3.60	5.13
140.39	19.39	18.84	19.11	3.47	5.14
141.11	19.50	18.84	19.17	3.60	5.15
141.82	19.45	18.80	19.12	3.58	5.14
142.54	19.41	18.82	19.11	3.46	5.13
143.26	19.41	18.69	19.05	3.58	5.13
143.98	19.39	18.75	19.07	3.59	5.14
144.70	19.33	18.62	18.98	3.55	5.13
145.42	19.33	18.78	19.06	3.49	5.13
146.14	19.37	18.60	18.98	3.52	5.13
146.86	19.36	18.73	19.05	3.58	5.15
147.58	19.25	18.54	18.89	3.49	5.12
148.30	19.39	18.66	19.03	3.59	5.15
149.02	19.15	18.55	18.85	3.57	5.13
149.74	19.16	18.59	18.87	3.57	5.12
150.46	19.19	18.52	18.86	3.30	5.13
151.18	19.18	18.53	18.86	3.40	5.13
151.90	19.20	18.64	18.92	3.66	5.14
152.62	19.13	18.62	18.87	3.54	5.13
153.34	19.22	18.50	18.86	3.48	5.13
154.06	19.15	18.50	18.82	3.53	5.13
154.78	19.11	18.49	18.80	3.38	5.11
155.50	19.21	18.54	18.87	3.55	5.14
156.22	19.07	18.40	18.74	3.54	5.13
156.94	19.16	18.45	18.81	3.46	5.13
157.66	19.06	18.50	18.78	3.43	5.13
158.38	19.02	18.37	18.69	3.40	5.11
159.10	18.97	18.38	18.67	3.36	5.13
159.82	19.00	18.45	18.72	3.56	5.13
160.54	19.00	18.39	18.69	3.41	5.12
161.26	18.81	18.66	18.73	4.29	5.12
161.98	19.10	18.47	18.78	3.43	5.14
162.70	19.04	18.41	18.72	3.51	5.14
163.42	18.96	18.38	18.67	3.54	5.14
164.14	18.93	18.31	18.62	3.47	5.12
164.86	18.86	18.31	18.59	3.41	5.12
165.58	18.78	18.18	18.48	3.37	5.10
166.30	18.87	18.35	18.61	3.61	5.13
167.02	18.88	18.15	18.52	3.27	5.13
167.74	18.89	18.32	18.60	3.40	5.14
168.46	18.74	18.21	18.47	3.42	5.11
169.18	18.90	18.19	18.54	3.45	5.14
169.90	18.75	18.18	18.47	3.30	5.13
170.62	18.80	18.12	18.46	3.34	5.12
171.34	18.85	18.14	18.49	3.46	5.13
172.06	18.73	18.14	18.43	3.60	5.13
172.78	18.75	18.08	18.42	3.46	5.12
173.50	18.72	18.08	18.40	3.30	5.13
174.22	18.84	18.23	18.53	3.60	5.13
174.94	18.66	18.01	18.33	3.31	5.12
175.66	18.70	18.16	18.43	3.55	5.14
176.38	18.68	18.11	18.39	3.40	5.13
177.10	18.75	18.14	18.44	3.51	5.13
177.82	18.55	18.09	18.32	3.40	5.13
178.54	18.70	18.12	18.41	3.50	5.14
179.26	18.64	18.04	18.34	3.34	5.13
179.98	18.62	18.11	18.36	3.43	5.14
180.70	18.59	18.08	18.34	3.51	5.14
181.42	18.54	17.95	18.24	3.32	5.12
182.14	18.51	17.99	18.25	3.27	5.12
182.86	18.57	17.94	18.26	3.37	5.12
183.58	18.60	17.87	18.24	3.38	5.12
184.30	18.64	17.90	18.27	3.31	5.13
185.02	18.50	17.89	18.19	3.42	5.12
185.74	18.56	17.97	18.27	3.45	5.13
186.46	18.43	17.87	18.15	3.43	5.13
187.18	18.54	17.87	18.20	3.29	5.13
187.90	18.45	17.87	18.16	3.35	5.12
188.62	18.49	17.77	18.13	3.42	5.12
189.34	18.38	17.80	18.09	3.30	5.12
190.06	18.45	17.78	18.12	3.26	5.12
190.78	18.45	17.72	18.08	3.35	5.12
191.50	18.45	17.76	18.11	3.36	5.12
192.22	18.45	17.83	18.14	3.45	5.14
192.94	18.38	17.70	18.04	3.37	5.12
193.66	18.41	17.89	18.15	3.31	5.14
194.38	18.32	17.82	18.07	3.31	5.13
195.10	18.38	17.72	18.05	3.30	5.13
195.82	18.27	17.69	17.98	3.34	5.12
196.54	18.28	17.72	18.00	3.31	5.12
197.26	18.28	17.59	17.94	3.26	5.12
197.98	18.25	17.69	17.97	3.19	5.13
198.70	18.24	17.75	17.99	3.45	5.13
199.42	18.19	17.54	17.86	3.22	5.11
200.14	18.31	17.60	17.96	3.39	5.12
200.86	18.22	17.66	17.94	3.40	5.13
201.58	18.37	17.55	17.96	3.27	5.14
202.30	18.19	17.62	17.90	3.44	5.13
203.02	18.22	17.61	17.92	3.42	5.13
203.74	18.13	17.47	17.80	3.15	5.12
204.46	18.15	17.53	17.84	3.23	5.12
205.18	18.10	17.45	17.78	3.24	5.11
205.90	18.05	17.43	17.74	3.16	5.12
206.62	18.15	17.54	17.84	3.17	5.13
207.34	18.13	17.45	17.79	3.32	5.13
208.06	18.06	17.49	17.78	3.24	5.12
208.78	18.06	17.45	17.75	3.25	5.12
209.50	18.13	17.47	17.80	3.32	5.13
210.22	18.08	17.38	17.73	3.17	5.13
210.94	18.03	17.47	17.75	3.28	5.12
211.66	18.01	17.38	17.69	3.18	5.12
212.38	17.82	17.33	17.57	3.26	5.11
213.10	17.94	17.36	17.65	3.26	5.12
213.82	17.94	17.29	17.62	3.28	5.11
214.54	17.98	17.45	17.71	3.28	5.13
215.26	18.01	17.31	17.66	3.30	5.13
215.98	17.89	17.31	17.60	3.21	5.12
216.70	17.95	17.27	17.61	3.30	5.14
217.42	17.95	17.30	17.62	3.31	5.13
218.14	17.84	17.26	17.55	3.33	5.12
218.86	17.83	17.21	17.52	3.16	5.10
219.58	17.77	17.25	17.51	3.22	5.12
220.30	17.81	17.25	17.53	3.30	5.12
221.02	17.85	17.39	17.62	3.27	5.14
221.74	17.90	17.27	17.59	3.23	5.12
222.46	17.81	17.28	17.54	3.32	5.12
223.18	17.86	17.26	17.56	3.29	5.13
223.90	17.67	17.11	17.39	2.97	5.11
224.62	17.76	17.20	17.48	3.12	5.12
225.34	17.79	17.09	17.44	3.21	5.13
226.06	17.81	17.22	17.51	3.27	5.14
226.78	17.66	17.12	17.39	3.14	5.11
227.50	17.79	17.17	17.48	3.21	5.14
228.22	17.76	17.13	17.45	3.31	5.13
228.94	17.70	17.22	17.46	3.26	5.14
229.66	17.66	17.01	17.34	3.16	5.12
230.38	17.71	17.00	17.36	3.09	5.12
231.10	17.49	17.05	17.27	3.23	5.10
231.82	17.70	17.02	17.36	3.18	5.13
232.54	17.62	17.03	17.32	3.23	5.13
233.26	17.57	17.01	17.29	3.24	5.12
233.98	17.49	16.89	17.19	3.10	5.11
234.70	17.60	16.99	17.29	3.13	5.12
235.42	17.53	17.01	17.27	3.11	5.12
236.13	17.52	16.91	17.22	3.06	5.11
236.85	17.47	16.97	17.22	3.27	5.12
237.57	17.41	16.83	17.12	3.11	5.10
238.29	17.39	16.86	17.13	3.17	5.11
239.01	17.45	16.80	17.13	3.07	5.12
239.73	17.58	16.84	17.21	3.20	5.13
240.45	17.42	16.85	17.14	3.10	5.12
241.17	17.45	16.83	17.14	3.11	5.12
241.89	17.44	16.84	17.14	3.02	5.11
242.61	17.36	16.80	17.08	3.15	5.12
243.33	17.36	16.82	17.09	3.11	5.11
244.05	17.25	16.82	17.04	3.11	5.11
244.77	17.29	16.73	17.01	2.98	5.11
245.49	17.30	16.69	17.00	3.20	5.12
246.21	17.34	16.69	17.01	3.11	5.12
246.93	17.19	16.64	16.92	3.11	5.11
247.65	17.19	16.66	16.93	3.02	5.12
248.37	17.33	16.64	16.99	2.99	5.12
249.09	17.24	16.63	16.94	3.04	5.12
249.81	17.19	16.77	16.98	3.15	5.12
250.53	17.21	16.60	16.91	3.13	5.11
251.25	17.12	16.57	16.85	3.23	5.10
251.97	17.19	16.55	16.87	2.97	5.11
252.69	17.23	16.67	16.95	3.23	5.12
253.41	17.10	16.54	16.82	3.08	5.11
254.13	17.15	16.51	16.83	2.97	5.11
254.85	17.10	16.58	16.84	3.17	5.11
255.57	17.05	16.49	16.77	3.19	5.11
256.29	17.00	16.54	16.77	3.09	5.11
257.01	16.99	16.56	16.77	3.06	5.12
257.73	17.01	16.42	16.72	3.14	5.11
258.45	16.95	16.32	16.64	2.95	5.09
259.17	16.98	16.38	16.68	3.06	5.11
259.89	16.93	16.39	16.66	2.99	5.11
260.61	17.05	16.38	16.72	3.09	5.11
261.33	16.90	16.36	16.63	3.15	5.11
262.05	16.93	16.39	16.66	3.00	5.12
262.77	16.97	16.37	16.67	3.03	5.11
263.49	16.90	16.42	16.66	3.02	5.11
264.21	16.83	16.36	16.59	3.08	5.11
264.93	16.84	16.26	16.55	3.11	5.11
265.65	16.83	16.31	16.57	2.91	5.11
266.37	16.84	16.28	16.56	3.12	5.10
267.09	16.73	16.26	16.49	3.11	5.10
267.81	16.77	16.19	16.48	2.97	5.11
268.53	16.95	16.32	16.63	2.94	5.11
269.25	16.78	16.28	16.53	3.12	5.11
269.97	16.90	16.22	16.56	3.08	5.11
270.69	16.71	16.25	16.48	2.93	5.11
271.41	16.74	16.17	16.46	3.07	5.10
272.13	16.70	16.21	16.46	3.06	5.10
272.85	16.83	16.19	16.51	3.13	5.12
273.57	16.72	16.21	16.47	3.03	5.10
274.29	16.76	16.17	16.47	3.01	5.11
275.01	16.65	16.18	16.42	3.04	5.10
275.73	16.70	16.16	16.43	2.99	5.11
276.45	16.60	16.12	16.36	3.03	5.10
277.17	16.55	16.04	16.29	2.91	5.09
277.89	16.57	16.05	16.31	2.91	5.10
278.61	16.64	16.05	16.35	3.06	5.11
279.33	16.57	16.12	16.34	2.91	5.11
280.05	16.62	16.03	16.32	2.86	5.11
280.77	16.59	15.97	16.28	3.08	5.10
281.49	16.60	16.00	16.30	3.09	5.11
282.21	16.56	16.05	16.30	2.88	5.11
282.93	16.60	16.06	16.33	3.02	5.11
283.65	16.61	15.98	16.30	3.00	5.11
284.37	16.46	15.88	16.17	2.86	5.11
285.09	16.56	15.97	16.27	2.99	5.12
285.81	16.58	15.91	16.24	2.87	5.11
286.53	16.40	15.88	16.14	2.91	5.10
287.25	16.52	16.00	16.26	2.97	5.12
287.97	16.45	15.83	16.14	2.90	5.11
288.69	16.46	15.88	16.17	2.85	5.10
289.41	16.43	15.85	16.14	3.05	5.11
290.13	16.48	15.89	16.18	2.93	5.12
290.85	16.42	15.85	16.14	2.99	5.11
291.57	16.37	15.78	16.08	2.99	5.10
292.29	16.34	15.88	16.11	3.00	5.10
293.01	16.34	15.80	16.07	2.90	5.11
293.73	16.43	15.83	16.13	2.92	5.12
294.45	16.22	15.71	15.97	2.93	5.10
295.17	16.28	15.78	16.03	2.99	5.10
295.89	16.31	15.77	16.04	2.99	5.10
296.61	16.34	15.68	16.01	2.88	5.10
297.33	16.20	15.69	15.95	2.91	5.10
298.05	16.26	15.65	15.96	2.88	5.10
298.77	16.27	15.69	15.98	2.96	5.11
299.49	16.12	15.71	15.92	2.98	5.09
300.21	16.22	15.60	15.91	2.78	5.09
300.93	16.22	15.67	15.95	2.84	5.11
301.65	16.17	15.64	15.91	2.98	5.10
302.37	16.21	15.54	15.87	2.84	5.10
303.09	16.21	15.54	15.87	2.81	5.09
303.81	16.19	15.61	15.90	2.89	5.10
304.53	16.14	15.63	15.89	2.96	5.10
305.25	16.01	15.56	15.78	2.85	5.10
305.97	16.18	15.63	15.90	2.87	5.10
306.69	16.17	15.51	15.84	2.91	5.11
307.41	15.97	15.49	15.73	2.94	5.09
308.13	15.95	15.54	15.74	2.81	5.10
308.85	16.01	15.52	15.77	2.79	5.10
309.57	16.01	15.52	15.76	2.95	5.10
310.29	16.04	15.54	15.79	3.00	5.10
311.01	16.01	15.45	15.73	2.77	5.10
311.73	15.92	15.41	15.67	2.90	5.09
312.45	15.95	15.48	15.71	2.70	5.11
313.17	15.98	15.44	15.71	2.88	5.09
313.89	16.01	15.45	15.73	2.85	5.10
314.61	16.05	15.42	15.74	2.93	5.10
315.33	15.84	15.28	15.56	2.86	5.09
316.05	15.82	15.33	15.57	2.81	5.10
316.77	15.90	15.35	15.63	2.78	5.09
317.49	15.84	15.36	15.60	2.80	5.09
318.21	15.84	15.31	15.58	2.71	5.10
318.93	15.75	15.40	15.58	2.86	5.10
319.65	15.81	15.32	15.56	2.79	5.10
320.37	15.82	15.23	15.53	2.81	5.09
321.09	15.75	15.25	15.50	2.88	5.10
321.81	15.68	15.27	15.48	2.90	5.08
322.53	15.72	15.20	15.46	2.81	5.09
323.25	15.80	15.25	15.52	2.77	5.10
323.97	15.70	15.20	15.45	2.82	5.10
324.69	15.68	15.13	15.41	2.74	5.09
325.41	15.75	15.25	15.50	2.89	5.10
326.13	15.69	15.12	15.40	2.78	5.10
326.85	15.65	15.11	15.38	2.74	5.08
327.57	15.69	15.11	15.40	2.76	5.10
328.29	15.50	15.12	15.31	2.78	5.08
329.01	15.67	15.03	15.35	2.71	5.09
329.73	15.61	15.10	15.35	2.85	5.09
330.45	15.61	15.05	15.33	2.80	5.09
331.16	15.50	15.01	15.25	2.80	5.09
331.88	15.62	15.15	15.38	2.75	5.11
332.60	15.53	15.05	15.29	2.67	5.08
333.32	15.53	15.02	15.28	2.89	5.09
334.04	15.59	15.08	15.33	2.76	5.10
334.76	15.53	14.99	15.26	2.76	5.09
335.48	15.51	14.96	15.23	2.76	5.10
336.20	15.43	14.92	15.18	2.77	5.09
336.92	15.43	14.94	15.19	2.77	5.09
337.64	15.51	14.90	15.20	2.76	5.08
338.36	15.37	14.93	15.15	2.64	5.08
339.08	15.47	14.87	15.17	2.72	5.09
339.80	15.37	14.95	15.16	2.86	5.09
340.52	15.31	14.89	15.10	2.75	5.09
341.24	15.44	14.84	15.14	2.73	5.09
341.96	15.39	14.79	15.09	2.67	5.08
342.68	15.27	14.92	15.10	2.73	5.09
343.40	15.31	14.81	15.06	2.73	5.08
344.12	15.30	14.79	15.05	2.76	5.09
344.84	15.31	14.80	15.05	2.68	5.09
345.56	15.34	14.79	15.06	2.76	5.09
346.28	15.30	14.80	15.05	2.70	5.08
347.00	15.16	14.75	14.96	2.74	5.08
347.72	15.19	14.71	14.95	2.70	5.09
348.44	15.22	14.65	14.93	2.64	5.09
349.16	15.25	14.70	14.97	2.81	5.09
349.88	15.20	14.67	14.94	2.69	5.08
